t (s),V (mV)
0,13.5183
1,13.4873
1.999,13.4536
3,13.4199
4,13.3857
5,13.3524
6,13.3166
7,13.2821
8,13.2475
8.999,13.2131
10,13.179
11,13.1441
12,13.1091
13,13.0754
14,13.0413
15,13.0067
16,12.9726
17,12.9382
18,12.9039
19,12.8711
20,12.8372
21,12.8035
22,12.7697
23,12.7366
24,12.7026
25,12.67
26,12.6366
27,12.6033
28,12.5691
29,12.5374
30,12.5029
31,12.4721
32,12.439
32.999,12.4069
34,12.3757
35,12.343
36,12.3099
37,12.2776
38,12.2455
38.999,12.2126
40,12.1812
40.999,12.149
42,12.117
43,12.0861
43.999,12.0548
44.999,12.023
46,11.9912
47,11.9606
47.999,11.9303
49,11.8994
49.999,11.869
51,11.8381
52,11.8076
53,11.7763
54,11.7467
55,11.7155
56,11.6858
57,11.6564
57.999,11.6258
59,11.5954
60,11.5644
61,11.5361
62,11.5072
63,11.4768
64,11.4475
65,11.4174
66,11.3889
66.999,11.3585
68,11.3299
69,11.3003
70,11.2711
71,11.2425
72,11.2131
72.999,11.1849
74,11.1559
75,11.1265
76,11.0997
76.999,11.0706
78,11.0419
79,11.0128
80,10.9849
81,10.956
82,10.9276
83,10.9009
84,10.8718
84.999,10.8447
86,10.818
87,10.7894
87.999,10.7619
89,10.7331
90,10.7058
91,10.6791
92,10.6508
93,10.6251
93.999,10.5959
94.998,10.5699
95.999,10.5424
96.999,10.5146
97.998,10.4883
98.998,10.4613
99.999,10.4334
100.999,10.4081
101.999,10.3801
102.999,10.3539
103.998,10.3271
104.999,10.3007
105.998,10.2745
106.999,10.2485
107.998,10.2222
108.999,10.197
109.998,10.1713
110.999,10.1452
111.999,10.1206
112.998,10.0932
113.998,10.0674
114.999,10.0439
115.999,10.0178
117,9.9927
118,9.9683
119,9.9425
120,9.917
121,9.8916
121.999,9.8672
123,9.843
124,9.8188
125,9.7931
126,9.7696
127,9.7438
127.999,9.7187
129,9.6946
130,9.6689
131,9.6446
132,9.6191
133,9.5945
134,9.5704
135,9.5455
136,9.5208
136.999,9.4977
138,9.4734
139,9.4491
140,9.4251
141,9.4016
142,9.3781
143,9.3546
144,9.3305
145,9.3074
146,9.2831
146.999,9.2603
148,9.2379
149,9.2146
150,9.1913
151,9.1709
151.999,9.1466
153,9.1245
154,9.1027
155,9.08
156,9.058
157,9.0354
158,9.0125
159,8.9908
160,8.9684
161,8.9469
162,8.9245
162.999,8.9025
164,8.8815
165,8.8584
166,8.8362
167,8.8142
168,8.7919
169,8.7696
170,8.749
171,8.7263
172,8.7038
173,8.6822
174,8.6603
175,8.6386
176,8.6175
177,8.5965
178,8.5746
179,8.5527
179.999,8.531
181,8.5097
182,8.488
183,8.4672
184,8.4465
185,8.4249
186,8.4041
187,8.383
188,8.3634
189,8.3408
190,8.3208
191,8.2996
192,8.2788
193,8.2592
194,8.2389
194.999,8.2168
196,8.197
197,8.1776
198,8.1573
199,8.1369
200,8.118
201.001,8.0974
202,8.0788
203,8.0571
203.999,8.0382
205,8.0178
206,7.9985
207,7.9787
208,7.9592
209,7.9396
210,7.9202
211,7.9012
212,7.8807
213,7.8619
214,7.8427
215,7.8241
216,7.8049
217,7.7856
218,7.7654
218.999,7.7492
220,7.7288
221,7.7104
222,7.6913
223,7.6723
223.999,7.6532
225,7.6347
226,7.6164
227,7.597
228,7.5795
228.999,7.5607
230,7.5424
231,7.525
231.999,7.5059
232.999,7.4889
234,7.4705
235,7.4529
235.999,7.4356
237,7.4163
238,7.398
239,7.3803
240,7.3632
241,7.3449
242,7.3283
243,7.3102
244,7.2929
244.999,7.2756
246,7.2572
247,7.2397
248,7.2225
249,7.2045
250,7.1871
251,7.1698
252,7.1533
253,7.1363
254,7.1197
255,7.1009
255.999,7.084
257,7.0668
258,7.05
259,7.033
260,7.0165
261,6.9992
