t (s),V (mV)
0,16.5916
1.05,16.5351
2.1,16.4796
3.15,16.4242
4.178,16.3695
5.179,16.3154
6.18,16.2607
7.181,16.2072
8.182,16.1533
9.183,16.1026
10.184,16.0505
11.185,15.9984
12.186,15.9484
13.187,15.8949
14.188,15.8466
15.189,15.796
16.19,15.7448
17.191,15.694
18.192,15.6431
19.193,15.5925
20.194,15.5422
21.195,15.4935
22.196,15.4411
23.197,15.3909
24.198,15.3398
25.199,15.2886
26.2,15.2387
27.201,15.1878
28.202,15.1329
29.203,15.0878
30.204,15.0383
31.205,14.9885
32.206,14.9387
33.207,14.8908
34.208,14.8425
35.178,14.7962
36.179,14.7452
37.18,14.6955
38.181,14.6467
39.182,14.5984
40.183,14.5499
41.184,14.5032
42.185,14.4552
43.186,14.4078
44.187,14.3626
45.188,14.3137
46.189,14.2661
47.19,14.2192
48.191,14.1717
49.192,14.1243
50.193,14.078
51.194,14.0303
52.195,13.9843
53.196,13.9338
54.197,13.8874
55.198,13.8415
56.199,13.7963
57.2,13.7152
58.201,13.6702
59.202,13.6247
60.203,13.5807
61.204,13.5366
62.205,13.4915
63.206,13.4467
64.207,13.4025
65.208,13.3588
66.178,13.3153
67.179,13.2715
68.18,13.228
69.181,13.1844
70.182,13.1419
71.183,13.0989
72.184,13.0569
73.185,13.0155
74.186,12.9727
75.187,12.9303
76.188,12.8875
77.189,12.8449
78.19,12.8022
79.191,12.7603
80.192,12.718
81.193,12.6749
82.194,12.6328
83.195,12.5911
84.196,12.5502
85.197,12.5088
86.198,12.4678
87.199,12.4272
88.2,12.3871
89.201,12.3465
90.202,12.3052
91.203,12.2652
92.204,12.2247
93.205,12.1848
94.207,12.145
95.208,12.1055
96.209,12.0666
97.178,12.03
98.179,11.9913
99.18,11.9523
100.181,11.914
101.182,11.8745
102.183,11.8359
103.184,11.7972
104.185,11.7584
105.186,11.7202
106.187,11.6816
107.188,11.6431
108.189,11.6055
109.19,11.5674
110.191,11.5295
111.192,11.4919
112.193,11.4542
113.194,11.4158
114.195,11.3781
115.196,11.3401
116.197,11.3019
117.198,11.2646
118.199,11.2282
119.2,11.1908
120.201,11.1545
121.202,11.1187
122.203,11.0831
123.204,11.0481
124.205,11.0133
125.206,10.9775
126.207,10.9426
127.208,10.9073
128.178,10.8722
129.179,10.8367
130.18,10.8004
131.181,10.7651
132.182,10.7307
133.183,10.6962
134.184,10.6619
135.185,10.6287
136.186,10.5948
137.187,10.5597
138.188,10.5256
139.189,10.4934
140.19,10.459
141.191,10.4264
142.192,10.3928
143.193,10.3616
144.194,10.3284
145.195,10.2957
146.196,10.2619
147.197,10.2293
148.198,10.1976
149.199,10.1646
150.2,10.1323
151.201,10.1
152.202,10.0682
153.203,10.0361
154.204,10.0043
155.205,9.97217
156.206,9.94119
157.207,9.91009
158.208,9.87764
159.178,9.84676
160.179,9.81606
161.18,9.78545
162.181,9.75454
163.182,9.72346
164.183,9.69076
165.184,9.66108
166.185,9.62991
167.186,9.81148
168.187,9.78213
169.188,9.75151
170.189,9.72062
171.19,9.68925
172.191,9.6595
173.192,9.62962
174.193,9.5989
175.194,9.56932
176.195,9.53956
177.196,9.52131
178.197,9.4934
179.198,9.46324
180.199,9.43373
181.2,9.40459
182.201,9.37469
183.202,9.34451
184.203,9.31516
185.204,9.28614
186.205,9.25688
187.206,9.22779
188.207,9.20037
189.208,9.17234
190.177,9.14502
191.179,9.11734
192.179,9.08892
193.181,9.06107
194.182,9.03227
195.183,9.00267
196.184,8.97405
197.185,8.94573
198.186,8.91677
199.187,8.88831
200.188,8.86126
201.189,8.83318
202.19,8.80626
203.191,8.78047
204.192,8.75347
205.193,8.72756
206.194,8.70181
207.195,8.67534
208.196,8.64905
209.197,8.62344
210.198,8.59632
211.199,8.56923
212.2,8.54294
213.201,8.5172
214.202,8.49136
215.203,8.46633
216.204,8.44033
217.205,8.41496
218.206,8.3882
219.207,8.36157
220.208,8.33536
221.178,8.31034
222.179,8.28418
223.18,8.25757
224.181,8.23202
225.182,8.20496
226.183,8.17904
227.184,8.15354
228.185,8.12759
229.186,8.10194
230.187,8.07684
231.188,8.05091
232.189,8.02755
233.19,8.00431
234.191,7.98048
235.192,7.95724
