t (s),V (mV)
0,9.2741
1.05,9.2443
2.084,9.2095
3.084,9.1964
4.084,9.183
5.084,9.1538
6.084,9.14
7.084,9.1163
8.084,9.0902
9.084,9.0774
10.084,9.0437
11.085,9.0361
12.085,9.0138
13.085,8.9985
14.084,8.9688
15.084,8.9603
16.084,8.9382
17.084,8.9129
18.084,8.8773
19.09,8.8652
20.084,8.8493
21.084,8.8242
22.084,8.8
23.085,8.7704
24.084,8.7523
25.084,8.7247
26.084,8.7333
27.084,8.7128
28.084,8.6738
29.084,8.6697
30.084,8.6511
31.089,8.6414
32.084,8.6166
33.084,8.5986
34.084,8.573
35.085,8.5512
36.084,8.5297
37.084,8.5025
38.084,8.4787
39.085,8.4791
40.084,8.4393
41.084,8.4193
42.084,8.3947
43.084,8.3909
44.085,8.3572
45.084,8.3471
46.084,8.3188
47.084,8.3002
48.084,8.2824
49.084,8.2661
50.084,8.2382
51.084,8.2294
52.084,8.215
53.084,8.1816
54.084,8.1616
55.084,8.1335
56.084,8.1283
57.084,8.1008
58.084,8.0945
59.085,8.0731
60.085,8.0468
61.087,8.032
62.084,8.0159
63.084,7.9897
64.086,7.9835
65.085,7.9607
66.084,7.9392
67.084,7.9182
68.084,7.9071
69.084,7.871
70.084,7.8744
71.084,7.8522
72.085,7.828
73.089,7.8028
74.084,7.7971
75.084,7.7884
76.084,7.7746
77.084,7.7552
78.084,7.7128
79.084,7.7115
80.084,7.7075
81.084,7.682
82.085,7.6805
83.084,7.6441
84.084,7.6353
85.084,7.6175
86.084,7.6096
87.084,7.5734
88.084,7.5706
89.084,7.5581
90.084,7.5411
91.091,7.5264
92.084,7.5159
93.084,7.4847
94.084,7.4721
95.085,7.4515
96.084,7.4369
97.084,7.4137
98.084,7.3896
99.084,7.3739
100.084,7.3636
101.084,7.3437
102.084,7.3339
103.084,7.3034
104.084,7.285
105.084,7.2742
106.084,7.2542
107.084,7.2358
108.084,7.2167
109.085,7.2036
110.085,7.1722
111.085,7.1446
112.084,7.1281
113.084,7.1316
114.084,7.1127
115.09,7.093
116.084,7.0883
117.084,7.061
118.084,7.0539
119.084,7.0537
120.084,7.04
121.088,7.0187
122.085,7.0043
123.084,6.9959
124.084,6.9748
125.085,6.9604
126.084,6.9326
127.085,6.918
128.084,6.9022
129.085,6.8895
130.084,6.8888
131.084,6.8552
132.084,6.8536
133.089,6.8471
134.084,6.7954
135.084,6.7739
136.084,6.7819
137.084,6.7602
138.084,6.7589
139.089,6.7347
140.084,6.7198
141.085,6.6947
142.084,6.6912
143.084,6.6874
144.084,6.6701
145.089,6.6497
146.084,6.5929
147.085,6.5834
148.084,6.5943
149.084,6.5729
150.084,6.5172
151.084,6.5124
152.084,6.5499
153.084,6.4804
154.084,6.4531
155.084,6.4503
156.084,6.4132
157.084,6.4135
158.084,6.4428
159.084,6.4436
160.084,6.361
161.084,6.4158
162.084,6.3921
163.089,6.3911
164.084,6.3566
165.084,6.3577
166.084,6.3529
167.084,6.3358
168.084,6.3203
169.084,6.2867
170.084,6.2435
171.084,6.2764
172.084,6.2709
173.084,6.256
174.084,6.2302
175.084,6.2301
176.084,6.1801
177.085,6.1684
178.084,6.1682
179.084,6.1552
180.084,6.1486
181.084,6.1307
182.084,6.1291
183.084,6.1177
184.084,6.0956
185.085,6.0983
186.084,6.066
187.084,6.0699
188.084,6.0536
189.084,6.0485
190.084,6.0278
191.084,6.0143
192.084,5.9733
193.084,5.9803
194.084,5.9483
195.084,5.9628
196.084,5.9379
197.084,5.9292
198.084,5.9207
199.084,5.8969
200.085,5.8764
201.084,5.8765
202.084,5.8634
203.084,5.8374
204.084,5.8318
205.084,5.8168
206.084,5.8033
207.084,5.797
208.084,5.7736
209.084,5.7872
210.084,5.7503
211.085,5.7411
212.084,5.7339
213.084,5.7132
214.084,5.7083
215.084,5.6872
216.084,5.6738
217.089,5.66
218.084,5.6521
219.084,5.6348
220.084,5.619
221.084,5.6109
222.084,5.6028
223.084,5.5805
224.084,5.5778
225.084,5.569
226.084,5.5697
227.085,5.5561
228.084,5.5353
229.089,5.5149
230.084,5.4978
231.084,5.5015
232.084,5.5063
233.084,5.4746
234.084,5.4442
235.084,5.4617
236.084,5.4446
237.084,5.4365
238.084,5.4313
239.084,5.4307
240.084,5.4185
241.084,5.4331
242.084,5.4294
243.084,5.4041
244.084,5.3858
245.084,5.3635
246.084,5.3726
247.089,5.3441
248.084,5.3204
249.084,5.3036
250.084,5.2996
251.084,5.2741
252.084,5.2946
253.084,5.2697
254.084,5.2639
255.084,5.2585
256.084,5.264
257.084,5.2478
258.084,5.2375
259.084,5.2447
260.084,5.2208
261.084,5.1997
262.084,5.1971
263.084,5.1729
264.084,5.1642
265.084,5.1596
266.084,5.1366
267.084,5.1465
268.084,5.1359
269.084,5.126
270.084,5.1105
271.084,5.0918
272.084,5.0464
273.084,5.0443
274.084,5.0699
275.084,5.0578
276.084,5.0504
277.084,5.0196
278.084,5.0437
279.084,5.0045
280.084,4.9881
281.084,4.9599
282.085,4.971
283.085,4.9546
284.084,4.9461
285.084,4.9226
286.084,4.927
287.084,4.9214
288.084,4.9094
289.087,4.8977
290.084,4.8693
291.084,4.8553
292.084,4.8394
293.084,4.8295
294.084,4.8219
