t (s),V (mV)
0,23.1365
0.97,23.071
1.941,23.0128
2.915,22.9468
3.915,22.8826
4.915,22.8187
5.916,22.755
6.915,22.6909
7.915,22.6264
8.915,22.5632
9.915,22.5015
10.915,22.4369
11.915,22.3741
12.915,22.3092
13.915,22.2482
14.915,22.1864
15.915,22.1263
16.915,22.0638
17.915,22.0028
18.916,21.9417
19.916,21.8804
20.915,21.8195
21.915,21.7582
22.915,21.6987
23.915,21.638
24.915,21.5768
25.915,21.5165
26.915,21.457
27.915,21.3973
28.915,21.3363
29.915,21.2765
30.915,21.2183
31.915,21.1583
32.915,21.1
33.915,21.0409
34.915,20.9807
35.915,20.9228
36.915,20.8653
37.915,20.807
38.915,20.7498
39.915,20.6922
40.915,20.6342
41.915,20.5774
42.915,20.5215
43.915,20.4644
44.915,20.407
45.915,20.3494
46.915,20.2936
47.915,20.2382
48.915,20.1814
49.915,20.1262
50.915,20.071
51.915,20.0174
52.915,19.9625
53.915,19.9067
54.915,19.8517
55.915,19.7968
56.915,19.7416
57.915,19.6864
58.915,19.632
59.915,19.5764
60.915,19.5217
61.915,19.4655
62.915,19.4109
63.915,19.3583
64.915,19.3035
65.915,19.2477
66.915,19.1929
67.915,19.1422
68.915,19.0896
69.915,19.0368
70.915,18.9845
71.915,18.9308
72.915,18.8797
73.915,18.8275
74.915,18.7735
75.915,18.7217
76.915,18.6701
77.915,18.619
78.915,18.567
79.915,18.5155
80.915,18.4643
81.915,18.414
82.915,18.3624
83.915,18.3115
84.915,18.2621
85.915,18.2117
86.915,18.1614
87.915,18.1116
88.915,18.0621
89.915,18.0114
90.915,17.9607
91.915,17.9109
92.915,17.8617
93.915,17.8132
94.915,17.7637
95.915,17.7139
96.915,17.6656
97.915,17.6176
98.915,17.568
99.915,17.5194
100.915,17.4716
101.915,17.4232
102.915,17.3744
103.915,17.3268
104.915,17.2791
105.915,17.2313
106.915,17.1831
107.915,17.1371
108.915,17.0898
109.915,17.042
110.915,16.9956
111.915,16.9487
112.915,16.9019
113.915,16.8554
114.915,16.8082
115.915,16.7617
116.915,16.7157
117.915,16.6689
118.915,16.6234
119.915,16.5773
120.915,16.5316
121.915,16.4871
122.915,16.4413
123.915,16.3967
124.915,16.3513
125.915,16.3073
126.915,16.2612
127.915,16.2158
128.915,16.1714
129.915,16.126
130.915,16.0809
131.915,16.0365
132.915,15.9922
133.915,15.947
134.915,15.902
135.915,15.8581
136.915,15.8154
137.915,15.7724
138.915,15.7284
139.915,15.6842
140.915,15.6416
141.915,15.5978
142.915,15.5546
143.915,15.5124
144.915,15.4696
145.915,15.4262
146.915,15.3842
147.915,15.3415
148.915,15.2992
149.915,15.2568
150.915,15.2134
151.915,15.1722
152.915,15.129
153.915,15.0876
154.915,15.0453
155.915,15.0029
156.915,14.9624
157.915,14.9186
158.915,14.879
159.915,14.8359
160.915,14.7917
161.915,14.7537
162.915,14.7118
163.915,14.6728
164.915,14.6338
165.915,14.5961
166.915,14.5572
167.915,14.5152
168.915,14.4768
169.915,14.4378
170.915,14.3964
171.915,14.3572
172.915,14.3181
173.915,14.2781
174.915,14.2385
175.915,14.1989
176.915,14.1598
177.915,14.1201
178.915,14.0814
179.915,14.042
180.915,14.0032
181.915,13.9646
182.915,13.9261
183.915,13.887
184.915,13.8503
185.915,13.8115
186.915,13.7728
187.915,13.7351
188.915,13.697
189.914,13.6591
190.915,13.6191
191.914,13.583
192.915,13.5455
193.915,13.5094
194.915,13.4726
195.915,13.4346
196.915,13.3982
197.915,13.3607
198.915,13.3242
199.915,13.2888
200.915,13.2496
201.915,13.2145
202.915,13.1784
203.915,13.1396
204.915,13.1065
205.915,13.0699
206.915,13.0334
207.915,12.9992
208.915,12.962
209.915,12.9267
210.915,12.8919
211.915,12.8564
212.915,12.8198
213.915,12.783
214.915,12.7491
215.915,12.7145
216.915,12.679
217.915,12.6438
218.915,12.6082
219.915,12.5733
220.915,12.5385
221.915,12.5036
222.915,12.4673
223.915,12.4325
224.915,12.3993
225.915,12.3628
226.915,12.3297
227.915,12.294
228.915,12.2615
229.915,12.2271
230.915,12.1942
231.915,12.1604
232.915,12.1254
233.915,12.0941
234.915,12.0602
235.915,12.0264
