t (s),V (mV)
0,17.6377
0.97,17.633
1.9,17.6186
2.883,17.6065
3.883,17.597
4.884,17.5838
5.883,17.5701
6.883,17.5557
7.883,17.5432
8.883,17.5286
9.883,17.5153
10.883,17.5028
11.883,17.4905
12.883,17.4781
13.883,17.4654
14.883,17.4537
15.883,17.4404
16.883,17.4288
17.883,17.4177
18.883,17.4065
19.883,17.3947
20.883,17.3816
21.883,17.37
22.883,17.3557
23.883,17.3454
24.883,17.3333
25.883,17.3215
26.883,17.3091
27.883,17.2976
28.883,17.2859
29.883,17.2738
30.883,17.2635
31.883,17.2512
32.883,17.2433
33.883,17.231
34.883,17.2202
35.883,17.2103
36.883,17.1982
37.884,17.188
38.883,17.1768
39.883,17.1663
40.883,17.1558
41.883,17.1442
42.883,17.1329
43.883,17.1213
44.883,17.1112
45.884,17.099
46.883,17.088
47.883,17.0775
48.883,17.0651
49.883,17.0565
50.883,17.0423
51.883,17.0315
52.883,17.0237
53.883,17.0112
54.883,17.0019
55.883,16.9882
56.883,16.9803
57.883,16.9687
58.883,16.9531
59.883,16.944
60.883,16.9366
61.883,16.924
62.883,16.9142
63.883,16.898
64.883,16.8928
65.883,16.8833
66.884,16.8723
67.883,16.8625
68.883,16.8517
69.883,16.8428
70.883,16.8323
71.883,16.822
72.883,16.8129
73.883,16.802
74.883,16.792
75.883,16.7832
76.883,16.7724
77.883,16.7628
78.883,16.7522
79.883,16.7427
80.883,16.733
81.884,16.7205
82.883,16.7104
83.883,16.701
84.883,16.6909
85.883,16.6796
86.883,16.671
87.883,16.661
88.883,16.6493
89.883,16.6397
90.882,16.6296
91.883,16.6199
92.883,16.6092
93.883,16.6008
94.883,16.5889
95.883,16.5807
96.883,16.5693
97.883,16.5584
98.885,16.5483
99.883,16.5391
100.883,16.5296
101.883,16.5186
102.883,16.5091
103.883,16.5002
104.883,16.4885
105.883,16.4787
106.883,16.4685
107.883,16.4567
108.883,16.4463
109.883,16.4358
110.883,16.4249
111.883,16.415
112.883,16.4009
113.883,16.3707
114.883,16.3707
115.883,16.3692
116.883,16.362
117.883,16.3533
118.883,16.3443
119.883,16.3347
120.883,16.3253
121.883,16.3167
122.883,16.3081
123.883,16.2964
124.883,16.2851
125.883,16.2756
126.883,16.2644
127.884,16.2537
128.883,16.2445
129.883,16.2342
130.883,16.2253
131.883,16.2155
132.883,16.2059
133.883,16.1954
134.883,16.1855
135.883,16.175
136.883,16.167
137.883,16.1573
138.883,16.1477
139.883,16.1387
140.883,16.1286
141.883,16.1189
142.883,16.1113
143.883,16.1019
144.884,16.091
145.883,16.0823
146.883,16.0737
147.883,16.0624
148.883,16.0521
149.883,16.0418
150.883,16.0326
151.883,16.0222
152.883,16.014
153.884,16.0042
154.883,15.9947
155.883,15.9864
156.883,15.9758
157.883,15.966
158.883,15.9572
159.883,15.9477
160.883,15.9387
161.883,15.9288
162.883,15.9218
163.883,15.9103
164.883,15.9091
165.883,15.8938
166.883,15.8842
167.884,15.8739
168.883,15.8647
169.883,15.8547
170.883,15.8464
171.883,15.8391
172.883,15.83
173.883,15.8203
174.883,15.8093
175.883,15.8021
176.883,15.7939
177.883,15.7835
178.883,15.7742
179.883,15.7647
180.883,15.7549
181.883,15.7457
182.883,15.7365
183.883,15.7283
184.883,15.7174
185.884,15.7089
186.883,15.6989
187.883,15.6881
188.883,15.6782
189.883,15.6712
190.883,15.6612
191.883,15.6509
192.883,15.6408
193.883,15.6335
194.883,15.6231
195.883,15.6135
196.883,15.6061
197.883,15.5971
198.883,15.588
199.883,15.5795
200.883,15.5717
201.883,15.5628
202.883,15.5523
203.883,15.5412
204.883,15.5319
205.883,15.5222
206.883,15.5138
207.883,15.5058
208.883,15.4964
209.884,15.4878
210.883,15.4792
211.883,15.4709
212.883,15.4618
213.884,15.4527
214.883,15.4438
215.883,15.4347
216.883,15.4252
217.883,15.4183
218.883,15.4095
219.883,15.3988
220.883,15.3904
221.883,15.3811
222.883,15.3723
223.883,15.3634
224.883,15.355
225.883,15.346
226.883,15.3371
227.883,15.3277
228.883,15.3206
229.883,15.3112
230.883,15.3009
231.883,15.2934
232.883,15.2843
233.883,15.2751
234.883,15.266
235.883,15.2578
236.883,15.2495
237.883,15.2419
238.883,15.2321
239.883,15.2249
240.883,15.2161
241.883,15.2067
242.883,15.1977
243.883,15.1885
244.883,15.1816
245.884,15.1721
246.883,15.1638
247.883,15.1562
248.882,15.1467
249.883,15.1368
250.883,15.1284
251.883,15.1197
252.883,15.1108
253.883,15.103
254.883,15.0923
255.883,15.0841
256.883,15.0753
257.883,15.066
258.883,15.0563
259.883,15.045
260.883,15.0376
261.883,15.0286
262.883,15.0198
263.883,15.0108
264.883,15.0012
265.883,14.9918
266.883,14.9823
267.883,14.9743
268.883,14.9666
269.883,14.9563
270.883,14.9477
271.883,14.9412
272.883,14.9315
273.883,14.9216
274.883,14.913
275.883,14.9042
276.883,14.8952
277.884,14.8873
278.883,14.879
279.883,14.8699
280.883,14.8613
281.883,14.8539
282.883,14.8465
283.883,14.8379
284.883,14.8274
285.883,14.8208
286.883,14.8112
287.883,14.8041
288.883,14.7961
289.884,14.8
290.883,14.782
291.883,14.7726
292.883,14.7601
293.884,14.751
294.883,14.7435
295.883,14.7394
296.883,14.7308
297.884,14.7186
298.883,14.7113
299.883,14.6979
300.883,14.676
301.883,14.6808
302.883,14.6767
